content,facets,schema_id,source_ref,workspace_id
Sarah Klein,"{""name"":""Sarah Klein"",""entity_type"":""person"",""entity_id"":""236"",""confidence"":1,""age_band"":""35-44"",""household_role"":""tenant"",""external_id"":""bMyXsIGZ4CnV8rK2E-69a"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:236,immeuble
Eliott Klein,"{""name"":""Eliott Klein"",""entity_type"":""person"",""entity_id"":""237"",""confidence"":1,""age_band"":""6-9"",""household_role"":""enfant"",""external_id"":""tN1G-PBsAFGTfaYAG9hFw"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:237,immeuble
Camille Laurent,"{""name"":""Camille Laurent"",""entity_type"":""person"",""entity_id"":""238"",""confidence"":1,""age_band"":""25-34"",""household_role"":""tenant"",""external_id"":""dutLeMqM2oKI56jlPMxoK"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:238,immeuble
Jonas Vermeulen,"{""name"":""Jonas Vermeulen"",""entity_type"":""person"",""entity_id"":""239"",""confidence"":1,""age_band"":""25-34"",""household_role"":""tenant"",""external_id"":""1tuazwVfvXxQJ55hbuel0"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:239,immeuble
Ménage Dupont seniors,"{""name"":""Ménage Dupont seniors"",""entity_type"":""household"",""entity_id"":""300"",""confidence"":1,""unit_id"":100,""household_status"":""owner_occupant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:300,immeuble
Ménage Sofia Martin,"{""name"":""Ménage Sofia Martin"",""entity_type"":""household"",""entity_id"":""301"",""confidence"":1,""unit_id"":101,""household_status"":""owner_occupant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:301,immeuble
Ménage Nicolas Dupont,"{""name"":""Ménage Nicolas Dupont"",""entity_type"":""household"",""entity_id"":""302"",""confidence"":1,""unit_id"":102,""household_status"":""owner_occupant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:302,immeuble
Ménage Karim Benali,"{""name"":""Ménage Karim Benali"",""entity_type"":""household"",""entity_id"":""303"",""confidence"":1,""unit_id"":103,""household_status"":""tenant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:303,immeuble
Ménage Peeters-De Smet,"{""name"":""Ménage Peeters-De Smet"",""entity_type"":""household"",""entity_id"":""304"",""confidence"":1,""unit_id"":104,""household_status"":""owner_occupant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:304,immeuble
Ménage Alice Bernard,"{""name"":""Ménage Alice Bernard"",""entity_type"":""household"",""entity_id"":""305"",""confidence"":1,""unit_id"":110,""household_status"":""owner_occupant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:305,immeuble
Ménage Legrand,"{""name"":""Ménage Legrand"",""entity_type"":""household"",""entity_id"":""306"",""confidence"":1,""unit_id"":111,""household_status"":""tenant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:306,immeuble
Ménage Victor Moreau,"{""name"":""Ménage Victor Moreau"",""entity_type"":""household"",""entity_id"":""307"",""confidence"":1,""unit_id"":112,""household_status"":""owner_occupant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:307,immeuble
Lot Érables A4 vacant travaux,"{""name"":""Lot Érables A4 vacant travaux"",""entity_type"":""household"",""entity_id"":""308"",""confidence"":1,""unit_id"":113,""household_status"":""vacant_works"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:308,immeuble
Ménage succession Renard,"{""name"":""Ménage succession Renard"",""entity_type"":""household"",""entity_id"":""309"",""confidence"":1,""unit_id"":120,""household_status"":""owner_occupant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:309,immeuble
Ménage El Idrissi,"{""name"":""Ménage El Idrissi"",""entity_type"":""household"",""entity_id"":""310"",""confidence"":1,""unit_id"":121,""household_status"":""tenant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:310,immeuble
Ménage Klein,"{""name"":""Ménage Klein"",""entity_type"":""household"",""entity_id"":""311"",""confidence"":1,""unit_id"":122,""household_status"":""tenant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:311,immeuble
Ménage colocation Laurent-Vermeulen,"{""name"":""Ménage colocation Laurent-Vermeulen"",""entity_type"":""household"",""entity_id"":""312"",""confidence"":1,""unit_id"":123,""household_status"":""tenant"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:household,household:household:312,immeuble
Groupe facturation Tilleuls A1,"{""name"":""Groupe facturation Tilleuls A1"",""entity_type"":""billing_group"",""entity_id"":""400"",""confidence"":1,""unit_id"":100,""status"":""active"",""split"":""50/50"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:400,immeuble
Groupe facturation Tilleuls A2,"{""name"":""Groupe facturation Tilleuls A2"",""entity_type"":""billing_group"",""entity_id"":""401"",""confidence"":1,""unit_id"":101,""status"":""active"",""split"":""single"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:401,immeuble
Groupe facturation Tilleuls A3,"{""name"":""Groupe facturation Tilleuls A3"",""entity_type"":""billing_group"",""entity_id"":""402"",""confidence"":1,""unit_id"":102,""status"":""active"",""split"":""50/50"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:402,immeuble
Groupe facturation Tilleuls A4 bailleur,"{""name"":""Groupe facturation Tilleuls A4 bailleur"",""entity_type"":""billing_group"",""entity_id"":""403"",""confidence"":1,""unit_id"":103,""status"":""active"",""split"":""landlord"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:403,immeuble
Groupe facturation Tilleuls A5,"{""name"":""Groupe facturation Tilleuls A5"",""entity_type"":""billing_group"",""entity_id"":""404"",""confidence"":1,""unit_id"":104,""status"":""active"",""split"":""50/50"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:404,immeuble
Groupe facturation Érables A1,"{""name"":""Groupe facturation Érables A1"",""entity_type"":""billing_group"",""entity_id"":""405"",""confidence"":1,""unit_id"":110,""status"":""active"",""split"":""single"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:405,immeuble
Groupe facturation Érables A2 bailleur,"{""name"":""Groupe facturation Érables A2 bailleur"",""entity_type"":""billing_group"",""entity_id"":""406"",""confidence"":1,""unit_id"":111,""status"":""active"",""split"":""landlord"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:406,immeuble
Groupe facturation Érables A3,"{""name"":""Groupe facturation Érables A3"",""entity_type"":""billing_group"",""entity_id"":""407"",""confidence"":1,""unit_id"":112,""status"":""active"",""split"":""single"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:407,immeuble
Groupe facturation Érables A4 travaux,"{""name"":""Groupe facturation Érables A4 travaux"",""entity_type"":""billing_group"",""entity_id"":""408"",""confidence"":1,""unit_id"":113,""status"":""active"",""split"":""works"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:408,immeuble
Groupe facturation Érables B1 succession,"{""name"":""Groupe facturation Érables B1 succession"",""entity_type"":""billing_group"",""entity_id"":""409"",""confidence"":1,""unit_id"":120,""status"":""active"",""split"":""usufruit_nue_propriete"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:409,immeuble
Groupe facturation Érables B2 bailleur,"{""name"":""Groupe facturation Érables B2 bailleur"",""entity_type"":""billing_group"",""entity_id"":""410"",""confidence"":1,""unit_id"":121,""status"":""active"",""split"":""landlord"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:410,immeuble
Groupe facturation Érables B3 bailleur,"{""name"":""Groupe facturation Érables B3 bailleur"",""entity_type"":""billing_group"",""entity_id"":""411"",""confidence"":1,""unit_id"":122,""status"":""active"",""split"":""landlord"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:411,immeuble
Groupe facturation Érables B4 mandataire,"{""name"":""Groupe facturation Érables B4 mandataire"",""entity_type"":""billing_group"",""entity_id"":""412"",""confidence"":1,""unit_id"":123,""status"":""active"",""split"":""owner_abroad"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:billing_group,billing_group:billing_group:412,immeuble
Bail Tilleuls A4 - Karim Benali,"{""name"":""Bail Tilleuls A4 - Karim Benali"",""entity_type"":""lease_contract"",""entity_id"":""800"",""confidence"":1,""unit_id"":103,""landlord_id"":203,""household_id"":303,""validFrom"":""2025-09-01"",""monthly_rent"":835,""currency"":""EUR"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:lease_contract,lease_contract:lease_contract:800,immeuble
Bail Érables A2 - Famille Legrand,"{""name"":""Bail Érables A2 - Famille Legrand"",""entity_type"":""lease_contract"",""entity_id"":""801"",""confidence"":1,""unit_id"":111,""landlord_id"":204,""household_id"":306,""validFrom"":""2024-07-01"",""monthly_rent"":1120,""currency"":""EUR"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:lease_contract,lease_contract:lease_contract:801,immeuble
Bail Érables B2 - Famille El Idrissi,"{""name"":""Bail Érables B2 - Famille El Idrissi"",""entity_type"":""lease_contract"",""entity_id"":""802"",""confidence"":1,""unit_id"":121,""landlord_id"":203,""household_id"":310,""validFrom"":""2025-02-01"",""monthly_rent"":1040,""currency"":""EUR"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:lease_contract,lease_contract:lease_contract:802,immeuble
Bail Érables B3 - Famille Klein,"{""name"":""Bail Érables B3 - Famille Klein"",""entity_type"":""lease_contract"",""entity_id"":""803"",""confidence"":1,""unit_id"":122,""landlord_id"":204,""household_id"":311,""validFrom"":""2023-11-01"",""monthly_rent"":990,""currency"":""EUR"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:lease_contract,lease_contract:lease_contract:803,immeuble
Bail Érables B4 - Colocation,"{""name"":""Bail Érables B4 - Colocation"",""entity_type"":""lease_contract"",""entity_id"":""804"",""confidence"":1,""unit_id"":123,""landlord_id"":234,""household_id"":312,""validFrom"":""2026-01-01"",""monthly_rent"":1250,""currency"":""EUR"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:lease_contract,lease_contract:lease_contract:804,immeuble
Compte CODA ACP Tilleuls,"{""name"":""Compte CODA ACP Tilleuls"",""entity_type"":""bank_account"",""entity_id"":""900"",""confidence"":1,""iban"":""BE12000000000001"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:bank_account,bank_account:bank_account:900,immeuble
Compte CODA ACP Érables,"{""name"":""Compte CODA ACP Érables"",""entity_type"":""bank_account"",""entity_id"":""901"",""confidence"":1,""iban"":""BE12000000000002"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:bank_account,bank_account:bank_account:901,immeuble
Appel charges Tilleuls janvier 2026,"{""name"":""Appel charges Tilleuls janvier 2026"",""entity_type"":""charge_call"",""entity_id"":""910"",""confidence"":1,""period"":""2026-01"",""amount"":1847.23,""currency"":""EUR"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:charge_call,charge_call:charge_call:910,immeuble
Appel charges Érables janvier 2026,"{""name"":""Appel charges Érables janvier 2026"",""entity_type"":""charge_call"",""entity_id"":""911"",""confidence"":1,""period"":""2026-01"",""amount"":920,""currency"":""EUR"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:charge_call,charge_call:charge_call:911,immeuble
Appel charges Tilleuls février 2026,"{""name"":""Appel charges Tilleuls février 2026"",""entity_type"":""charge_call"",""entity_id"":""912"",""confidence"":1,""period"":""2026-02"",""amount"":650,""currency"":""EUR"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:charge_call,charge_call:charge_call:912,immeuble
CODA 2026-01-05 CP LOT A3 CHGE JANV,"{""name"":""CODA 2026-01-05 CP LOT A3 CHGE JANV"",""entity_type"":""coda_entry"",""entity_id"":""920"",""confidence"":1,""amount"":1847.23,""currency"":""EUR"",""communication"":""CP LOT A3 CHGE JANV"",""status"":""matched"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:coda_entry,coda_entry:coda_entry:920,immeuble
CODA 2026-01-07 LOT B2 PARTIEL,"{""name"":""CODA 2026-01-07 LOT B2 PARTIEL"",""entity_type"":""coda_entry"",""entity_id"":""921"",""confidence"":1,""amount"":500,""currency"":""EUR"",""communication"":""LOT B2 PARTIEL"",""status"":""partial"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:coda_entry,coda_entry:coda_entry:921,immeuble
CODA 2026-01-08 VIR INCONNU,"{""name"":""CODA 2026-01-08 VIR INCONNU"",""entity_type"":""coda_entry"",""entity_id"":""922"",""confidence"":1,""amount"":650,""currency"":""EUR"",""communication"":""VIR INCONNU"",""status"":""manual_review"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:coda_entry,coda_entry:coda_entry:922,immeuble
Quittance Tilleuls A3 janvier 2026,"{""name"":""Quittance Tilleuls A3 janvier 2026"",""entity_type"":""receipt"",""entity_id"":""930"",""confidence"":1,""amount"":1847.23,""currency"":""EUR"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:receipt,receipt:receipt:930,immeuble
Relance Érables B2 janvier 2026,"{""name"":""Relance Érables B2 janvier 2026"",""entity_type"":""reminder"",""entity_id"":""931"",""confidence"":1,""level"":1,""amount_due"":420,""currency"":""EUR"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:reminder,reminder:reminder:931,immeuble
Décision AG budget 2026 Tilleuls,"{""name"":""Décision AG budget 2026 Tilleuls"",""entity_type"":""decision"",""entity_id"":""940"",""confidence"":1,""date"":""2025-12-12"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:decision,decision:decision:940,immeuble
